||||||||
Ник продавца латиницей||innokentiy|(Ник в ЖЖ, любой другой или просто фамилия-имя)|||||
||||||||
ФИО||in no ken||||||
||||||||
Телефон для связи||9991234567||||||
||||||||
E-mail||in@no.ken||||||
|||||||НЕ РЕДАКТИРОВАТЬ |
||||||||
||||||||
||||||||
||||||||
Перевод денег||1|(цифра)|||||
||123456789012345678 qwertyuiop qwertyuiop|(№ карты, ФИО или тел, оператор)|||||
1 — перевести на карту Сбербанка: указать  № карты, Имя Отчество Ф. получателя — обязательно!)||||||||
2 — перевести на телефон: указать № телефона, оператора связи||||||||
||||||||
||||||||
Код приемщика||qw12|(латинская буква и цифра!)|||||
||||||||
Индивидуальный код (ВНИМАНИЕ! ТОЛЬКО ЗАГЛАВНЫЕ БУКВЫ ЛАТИНИЦЕЙ И ЦИФРЫ!)||||||||
as98||Первая буква фамилии + первая буква имени + вторая цифра дня рождения + вторая цифра месяца рождения|||||55|
||Итого 2 буквы + 2 цифры||||||
||||||||
Номер листа|1|||||||
||||||||
Порядковый номер вещи|Название вещи, описание, брэнд. ||Размер|Цена|Артикул (автозаполнение!!!)|||
||||||||
001|первая вещь||А|100|*as98001D*||D|001
002|вторая вещь||В|200|*as98002E*||E|002
003|третья вещь||С |300|*as98003F*||F|003
004|||||*as98004G*||G|004
005|||||*as98005H*||H|005
006|||||*as98006I*||I|006
007|||||*as98007J*||J|007
008|||||*as98008K*||K|008
009|||||*as98009L*||L|009
010|||||*as98010D*||D|010
011|||||*as98011E*||E|011
012|||||*as98012F*||F|012
013|||||*as98013G*||G|013
014|||||*as98014H*||H|014
015|||||*as98015I*||I|015
016|||||*as98016J*||J|016
017|||||*as98017K*||K|017
018|||||*as98018L*||L|018
019|||||*as98019M*||M|019
020|||||*as98020E*||E|020
021|||||*as98021F*||F|021
022|||||*as98022G*||G|022
023|||||*as98023H*||H|023
024|||||*as98024I*||I|024
025|||||*as98025J*||J|025
026|||||*as98026K*||K|026
027|||||*as98027L*||L|027
028|||||*as98028M*||M|028
029|||||*as98029N*||N|029
030|||||*as98030F*||F|030
031|||||*as98031G*||G|031
032|||||*as98032H*||H|032
